"","x"
"640",0
"641",0
"642",0
"643",1
"644",0
"645",0
"646",0
"647",0
"648",12
"649",0
"650",6
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",1
"659",0
"660",0
"661",0
"662",0
"663",2
"664",0
"665",0
"666",0
"667",0
"668",0
"669",0
"670",0
"671",1
"672",3
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",1
"681",0
"682",0
"683",0
"684",8
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",101
"692",0
"693",4
"694",6
"695",0
"696",0
"697",2
"698",0
"699",41
"700",0
"701",0
"702",8
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",2
"721",2
"722",0
"723",0
"724",0
"725",0
"726",11
"727",0
"728",0
"729",1
"730",3
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",0
"741",0
"742",0
"743",0
"744",0
"745",1
"746",0
"747",25
"748",0
"749",0
"750",2
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",3
"758",0
"759",0
"760",0
"761",0
"762",0
"763",0
"764",0
"765",0
"766",7
"767",5
"768",0
"769",4
"770",2
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",0
"780",0
"781",3
"782",9
"783",0
"784",2
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",1
"801",0
"802",0
"803",0
"804",0
"805",1
"806",0
"807",0
"808",0
"809",0
"810",3
"811",1
"812",1
"813",0
"814",0
"815",27
"816",0
"817",4
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",3
"826",0
"827",1
"828",0
"829",11
"830",2
"831",1
"832",0
"833",0
"834",0
"835",0
"836",0
"837",0
"838",0
"839",0
"840",0
"841",0
"842",0
"843",0
"844",0
"845",0
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",6
"859",0
"860",0
"861",1
"862",0
"863",0
"864",0
"865",0
"866",6
"867",0
"868",0
"869",2
"870",0
"871",0
"872",0
"873",0
"874",0
"875",0
"876",1
"877",0
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",4
"885",4
"886",1
"887",0
"888",0
"889",0
"890",0
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",0
"907",0
"908",3
"909",0
"910",0
"911",0
"912",0
"913",7
"914",0
"915",0
"916",0
"917",10
"918",0
"919",0
"920",0
"921",0
"922",0
"923",1
"924",0
"925",0
"926",0
"927",0
"928",0
"929",0
"930",0
"931",0
"932",0
"933",0
"934",0
"935",0
"936",0
"937",0
"938",0
"939",19
"940",0
"941",0
"942",0
"943",2
"944",0
"945",3
"946",0
"947",0
"948",0
"949",1
"950",0
"951",2
"952",0
"953",0
"954",0
"955",4
"956",0
"957",0
"958",36
"959",0
"960",0
"961",0
"962",0
"963",0
"964",0
"965",0
"966",1
"967",0
"968",0
"969",0
"970",6
"971",4
"972",2
"973",0
"974",0
"975",0
"976",1
"977",1
"978",2
"979",0
"980",0
"981",0
"982",0
"983",2
"984",0
"985",0
"986",0
"987",0
"988",0
"989",0
"990",0
"991",3
"992",1
"993",1
"994",0
"995",0
"996",0
"997",0
"998",0
"999",0
"1000",9
"1001",4
"1002",3
"1003",2
"1004",1
"1005",0
"1006",0
"1007",0
"1008",4
"1009",0
"1010",4
"1011",1
"1012",0
"1013",0
"1014",0
"1015",0
"1016",6
"1017",0
"1018",0
"1019",0
"1020",7
"1021",2
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",0
"1029",0
"1030",4
"1031",0
"1032",1
"1033",0
"1034",0
"1035",5
"1036",0
"1037",0
"1038",5
"1039",3
"1040",0
"1041",0
"1042",22
"1043",0
"1044",2
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",0
"1052",0
"1053",0
"1054",0
"1055",0
"1056",0
"1057",6
"1058",0
"1059",0
"1060",0
"1061",0
"1062",0
"1063",0
"1064",3
"1065",0
"1066",0
"1067",0
"1068",1
"1069",0
"1070",0
"1071",0
"1072",0
"1073",3
"1074",0
"1075",0
"1076",0
"1077",0
"1078",13
"1079",0
"1080",0
"1081",0
"1082",1
"1083",0
"1084",0
"1085",0
"1086",0
"1087",0
"1088",2
"1089",2
"1090",1
"1091",2
"1092",0
"1093",0
"1094",0
"1095",0
"1096",0
"1097",0
"1098",0
"1099",0
"1100",1
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",25
"1107",0
"1108",0
"1109",5
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",16
"1120",0
"1121",0
"1122",0
"1123",8
"1124",0
"1125",0
"1126",0
"1127",0
"1128",0
"1129",0
"1130",0
"1131",0
"1132",0
"1133",0
"1134",0
"1135",0
"1136",1
"1137",0
"1138",0
"1139",0
"1140",0
"1141",1
"1142",1
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",0
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",2
"1157",0
"1158",0
"1159",0
"1160",0
"1161",2
"1162",0
"1163",0
"1164",0
"1165",7
"1166",2
"1167",0
"1168",0
"1169",0
"1170",7
"1171",3
"1172",0
"1173",3
"1174",0
"1175",0
"1176",0
"1177",0
"1178",1
"1179",0
"1180",0
"1181",0
"1182",0
"1183",0
"1184",8
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",2
"1194",3
"1195",3
"1196",0
"1197",0
"1198",0
"1199",2
"1200",2
"1201",0
"1202",36
"1203",0
"1204",34
"1205",0
"1206",0
"1207",1
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0
"1214",0
"1215",10
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",10
"1222",0
"1223",0
"1224",0
"1225",0
"1226",0
"1227",0
"1228",0
"1229",0
"1230",2
"1231",1
"1232",1
"1233",0
"1234",0
"1235",0
"1236",0
"1237",1
"1238",3
"1239",0
"1240",0
"1241",0
"1242",0
"1243",2
"1244",1
"1245",1
"1246",0
"1247",0
"1248",0
"1249",5
"1250",6
"1251",0
"1252",0
"1253",28
"1254",3
"1255",1
"1256",1
"1257",0
"1258",0
"1259",0
"1260",2
"1261",0
"1262",0
"1263",2
"1264",0
"1265",0
"1266",0
"1267",12
"1268",0
"1269",0
"1270",1
"1271",0
"1272",0
"1273",117
"1274",4
"1275",9
"1276",1
"1277",2
"1278",0
"1279",0
"1280",0
"1281",0
"1282",0
"1283",0
"1284",0
"1285",2
"1286",3
"1287",0
"1288",0
"1289",0
"1290",0
"1291",0
"1292",2
"1293",0
"1294",2
"1295",0
"1296",0
"1297",12
"1298",0
"1299",0
"1300",1
"1301",0
"1302",0
"1303",0
