"","x"
"1",8103.08392757538
"2",8103.08392757538
"3",8103.08392757538
"4",0
"5",0
"6",8103.08392757538
"7",8103.08392757538
"8",8103.08392757538
"9",0
"10",6
"11",8103.08392757538
"12",8103.08392757538
"13",8103.08392757538
"14",8103.08392757538
"15",8103.08392757538
"16",8103.08392757538
"17",8103.08392757538
"18",8103.08392757538
"19",8103.08392757538
"20",8103.08392757538
"21",8103.08392757538
"22",8103.08392757538
"23",0
"24",0
"25",8103.08392757538
"26",8103.08392757538
"27",8103.08392757538
"28",8103.08392757538
"29",8103.08392757538
"30",8103.08392757538
"31",8103.08392757538
"32",8103.08392757538
"33",8103.08392757538
"34",8103.08392757538
"35",8103.08392757538
"36",8103.08392757538
"37",8103.08392757538
"38",8103.08392757538
"39",8103.08392757538
"40",8103.08392757538
"41",8103.08392757538
"42",8103.08392757538
"43",8103.08392757538
"44",8103.08392757538
"45",8103.08392757538
"46",8103.08392757538
"47",8103.08392757538
"48",8103.08392757538
"49",8103.08392757538
"50",8103.08392757538
"51",8103.08392757538
"52",8103.08392757538
"53",8103.08392757538
"54",8103.08392757538
"55",8103.08392757538
"56",8103.08392757538
"57",8103.08392757538
"58",8103.08392757538
"59",8103.08392757538
"60",8103.08392757538
"61",8103.08392757538
"62",8103.08392757538
"63",8103.08392757538
"64",8103.08392757538
"65",8103.08392757538
"66",8103.08392757538
"67",8103.08392757538
"68",8103.08392757538
"69",8103.08392757538
"70",8103.08392757538
"71",8103.08392757538
"72",8103.08392757538
"73",8103.08392757538
"74",8103.08392757538
"75",8103.08392757538
"76",8103.08392757538
"77",8103.08392757538
"78",8103.08392757538
"79",8103.08392757538
"80",8103.08392757538
"81",8103.08392757538
"82",8103.08392757538
"83",8103.08392757538
"84",8103.08392757538
"85",8103.08392757538
"86",8103.08392757538
"87",8103.08392757538
"88",0
"89",6
"90",8103.08392757538
"91",8103.08392757538
"92",8103.08392757538
"93",8103.08392757538
"94",8103.08392757538
"95",8103.08392757538
"96",8103.08392757538
"97",8103.08392757538
"98",8103.08392757538
"99",8103.08392757538
"100",8103.08392757538
"101",8103.08392757538
"102",8103.08392757538
"103",8103.08392757538
"104",8103.08392757538
"105",8103.08392757538
"106",8103.08392757538
"107",8103.08392757538
"108",8103.08392757538
"109",0
"110",0
"111",8103.08392757538
"112",8103.08392757538
"113",8103.08392757538
"114",8103.08392757538
"115",8103.08392757538
"116",8103.08392757538
"117",8103.08392757538
"118",8103.08392757538
"119",8103.08392757538
"120",8103.08392757538
"121",0
"122",0
"123",8103.08392757538
"124",8103.08392757538
"125",8103.08392757538
"126",8103.08392757538
"127",8103.08392757538
"128",8103.08392757538
"129",8103.08392757538
"130",8103.08392757538
"131",8103.08392757538
"132",8103.08392757538
"133",8103.08392757538
"134",8103.08392757538
"135",8103.08392757538
"136",8103.08392757538
"137",8103.08392757538
"138",8103.08392757538
"139",8103.08392757538
"140",8103.08392757538
"141",8103.08392757538
"142",8103.08392757538
"143",8103.08392757538
"144",8103.08392757538
"145",0
"146",0
"147",8103.08392757538
"148",8103.08392757538
"149",8103.08392757538
"150",8103.08392757538
"151",8103.08392757538
"152",0
"153",0
"154",8103.08392757538
"155",8103.08392757538
"156",8103.08392757538
"157",8103.08392757538
