"","x"
"1",0
"2",0
"3",0
"4",2
"5",0
"6",0
"7",0
"8",0
"9",2
"10",1
"11",0
"12",0
"13",0
"14",0
"15",6
"16",0
"17",0
"18",0
"19",86
"20",0
"21",0
"22",2
"23",0
"24",1
"25",0
"26",0
"27",0
"28",3
"29",1
"30",0
"31",0
"32",12
"33",0
"34",1
"35",2
"36",0
"37",0
"38",0
"39",0
"40",0
"41",1
"42",0
"43",0
"44",4
"45",0
"46",0
"47",0
"48",1
"49",0
"50",1
"51",0
"52",0
"53",0
"54",27
"55",0
"56",0
"57",0
"58",1
"59",1
"60",0
"61",0
"62",0
"63",2
"64",0
"65",2
"66",2
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",17
"74",0
"75",0
"76",0
"77",0
"78",79
"79",0
"80",0
"81",0
"82",0
"83",0
"84",5
"85",0
"86",0
"87",0
"88",0
"89",0
"90",4
"91",0
"92",0
"93",0
"94",0
"95",2
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",370
"103",93
"104",46
"105",0
"106",0
"107",0
"108",0
"109",0
"110",2
"111",0
"112",1
"113",1
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",1
"126",0
"127",0
"128",8
"129",0
"130",0
"131",2
"132",2
"133",1
"134",0
"135",0
"136",45
"137",0
"138",0
"139",2
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",66
"148",0
"149",0
"150",2
"151",1
"152",0
"153",1
"154",0
"155",0
"156",0
"157",0
"158",0
"159",1
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",7913
"174",16
"175",0
"176",0
"177",0
"178",9
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",1
"186",1
"187",3
"188",0
"189",103
"190",6
"191",0
"192",3
"193",0
"194",6
"195",0
"196",0
"197",0
"198",0
"199",6
"200",0
"201",0
"202",0
"203",38
"204",15
"205",0
"206",0
"207",7
"208",0
"209",0
"210",1
"211",0
"212",0
"213",4
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",4
"223",0
"224",0
