"","x"
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",1
"652",0
"653",0
"654",1
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",1
"664",1
"665",0
"666",0
"667",0
"668",0
"669",9
"670",0
"671",0
"672",17
"673",0
"674",0
"675",0
"676",1
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",1
"685",0
"686",0
"687",0
"688",0
"689",729416.369847701
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",2
"697",1
"698",0
"699",0
"700",0
"701",0
"702",22
"703",0
"704",3
"705",3
"706",0
"707",0
"708",0
"709",0
"710",0
"711",5
"712",0
"713",1
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",3
"721",0
"722",26
"723",1
"724",2
"725",0
"726",5
"727",0
"728",0
"729",0
"730",1
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",0
"741",2
"742",1
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",1
"750",0
"751",0
"752",0
"753",21
"754",0
"755",0
"756",2
"757",27
"758",1
"759",0
"760",2
"761",0
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",1
"769",0
"770",0
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",0
"780",0
"781",1
"782",1
"783",0
"784",2
"785",0
"786",0
"787",6
"788",0
"789",0
"790",0
"791",0
"792",0
"793",2
"794",3
"795",0
"796",2
"797",0
"798",0
"799",0
"800",2
"801",0
"802",0
"803",0
"804",0
"805",0
"806",0
"807",0
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",3
"815",0
"816",0
"817",0
"818",0
"819",3
"820",1
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",0
"832",3
"833",0
"834",0
"835",0
"836",0
"837",0
"838",0
"839",0
"840",0
"841",0
"842",2
"843",1
"844",0
"845",0
"846",0
"847",0
"848",0
"849",1
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",2
"857",0
"858",0
"859",14
"860",0
"861",0
"862",0
"863",0
"864",0
"865",5
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",0
"875",0
"876",2
"877",0
"878",24
"879",0
"880",0
"881",0
"882",0
"883",2
"884",729416.369847701
"885",0
"886",14
"887",0
"888",0
"889",0
"890",2
"891",0
"892",0
"893",0
"894",6
"895",1
"896",0
"897",0
"898",2
"899",1
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",0
"907",1
"908",1
"909",2
"910",1
"911",0
"912",0
"913",0
"914",2
"915",0
"916",0
"917",0
"918",0
"919",0
"920",6
"921",0
"922",0
"923",1
"924",0
"925",0
"926",0
"927",0
"928",2
"929",0
"930",0
"931",0
"932",0
"933",2
"934",0
"935",0
"936",0
"937",0
"938",0
"939",7
"940",0
"941",0
"942",1
"943",0
"944",0
"945",0
"946",1
"947",2
"948",0
"949",0
"950",9
"951",0
"952",0
"953",0
"954",0
"955",0
"956",0
"957",0
"958",1
"959",1
"960",1
"961",0
"962",0
"963",0
"964",0
"965",2
"966",0
"967",0
"968",8
"969",6
"970",10
"971",2
"972",0
"973",0
"974",0
"975",0
"976",1
"977",0
"978",0
"979",0
"980",4
"981",0
"982",0
"983",1
"984",0
"985",7
"986",0
"987",0
"988",0
"989",0
"990",1
"991",0
"992",0
"993",0
"994",0
"995",0
"996",0
"997",0
"998",0
"999",5
"1000",7
"1001",5
"1002",2
"1003",1
"1004",0
"1005",0
"1006",2
"1007",0
"1008",3
"1009",0
"1010",2
"1011",0
"1012",0
"1013",1
"1014",0
"1015",1
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",6
"1025",4
"1026",1
"1027",0
"1028",0
"1029",4
"1030",0
"1031",1
"1032",0
"1033",6
"1034",1
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",1
"1044",0
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",4
"1052",0
"1053",0
"1054",0
"1055",0
"1056",0
"1057",0
"1058",0
"1059",0
"1060",1
"1061",1
"1062",0
"1063",0
"1064",0
"1065",0
"1066",2
"1067",0
"1068",1
"1069",0
"1070",0
"1071",0
"1072",0
"1073",0
"1074",0
"1075",0
"1076",0
"1077",0
"1078",6
"1079",0
"1080",2
"1081",0
"1082",0
"1083",0
"1084",0
"1085",0
"1086",0
"1087",0
"1088",0
"1089",1
"1090",0
"1091",0
"1092",0
"1093",1
"1094",0
"1095",0
"1096",0
"1097",0
"1098",1
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",3
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",1
"1112",729416.369847701
"1113",0
"1114",0
"1115",2
"1116",0
"1117",0
"1118",0
"1119",0
"1120",0
"1121",0
"1122",0
"1123",1
"1124",5
"1125",1
"1126",0
"1127",0
"1128",16
"1129",7
"1130",0
"1131",0
"1132",4
"1133",0
"1134",0
"1135",1
"1136",0
"1137",0
"1138",0
"1139",3
"1140",1
"1141",0
"1142",0
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",0
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",0
"1155",1
"1156",0
"1157",0
"1158",0
"1159",0
"1160",0
"1161",0
"1162",5
"1163",1
"1164",0
"1165",0
"1166",0
"1167",2
"1168",1
"1169",0
"1170",0
"1171",15
"1172",0
"1173",0
"1174",0
"1175",0
"1176",0
"1177",0
"1178",0
"1179",0
"1180",0
"1181",2
"1182",0
"1183",0
"1184",0
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",2
"1192",0
"1193",0
"1194",0
"1195",0
"1196",0
"1197",0
"1198",3
"1199",0
"1200",0
"1201",0
"1202",0
"1203",0
"1204",0
"1205",0
"1206",3
"1207",0
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0
"1214",2
"1215",2
"1216",0
"1217",1
"1218",0
"1219",0
"1220",0
"1221",0
"1222",1
"1223",0
"1224",0
"1225",0
"1226",0
"1227",0
"1228",0
"1229",6
"1230",1
"1231",0
"1232",1
"1233",0
"1234",0
"1235",0
"1236",0
"1237",0
"1238",0
"1239",1
"1240",0
"1241",0
"1242",6
"1243",0
"1244",4
"1245",0
"1246",0
"1247",3
"1248",0
"1249",0
"1250",0
"1251",0
"1252",1
"1253",6
"1254",0
"1255",0
"1256",0
"1257",0
"1258",14
"1259",0
"1260",8
"1261",0
"1262",0
"1263",0
"1264",0
"1265",0
"1266",0
"1267",0
"1268",0
"1269",0
"1270",0
"1271",0
"1272",1
"1273",0
"1274",0
"1275",4
"1276",0
"1277",0
"1278",2
"1279",0
"1280",2
"1281",2
"1282",0
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",0
"1292",0
"1293",0
"1294",5
"1295",16
"1296",0
"1297",4
"1298",0
"1299",0
"1300",0
